RAAA#,Sex,AnimalID,Name,DOB,BrdCds,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HG,GM
PM452,,A11 - 3036,HHOLLA11 - WOOD EMMETT 3036,,,16,-2.5,49,71,0.14,0.57,20,-1,10,9,20,0.24,0.06,2,-0.14,0.02,208,46
PM453,,A11 - 2385,HHOLLA11 - ODOHERTY   2385,,,13,-1,56,81,0.16,0.77,22,-3,8,7,20,0.2,0.04,2,-0.19,0,192,46
PM454,,A11 - 8355,HHOLLA11 - FEDDES LIBERATION D108- 8355,,,13,-1.5,56,86,0.19,0.83,23,-3,10,7,21,0.47,0.08,12,-0.14,0.01,213,48
PM455,,A11 - 8269,HHOLLA11 - FEDDES DEFENDER Y17-8269,,,14,-1.4,55,82,0.17,0.95,21,-3,12,7,21,0.45,0.04,0,-0.09,0.01,218,47
PM456,,A23 - D104,HHOLLA23 - VF ACQUISITION D104,,,15,-2.5,50,74,0.15,0.59,22,-2,11,7,17,0.34,0.06,5,-0.02,0.03,180,47
PM457,?,A23 - D172,HHOLLA23 - VF SILVER BOW D172,,,13,-1.1,62,96,0.21,0.91,22,-1,12,8,17,0.34,0.05,13,0.04,0.02,188,49
PM458,,A23 - D706,HHOLLA23 - DOING RIGHT,,,13,-2,49,75,0.16,0.44,24,-4,9,7,17,0.3,0.05,3,-0.15,0.01,180,47
PM459,,A23 - 3036,HHOLLA23 - WOOD EMMETT 3036,,,17,-3,50,72,0.14,0.72,20,-1,9,9,18,0.24,0.06,3,-0.12,0.02,183,45
PM460,,A23 - 2385,HHOLLA23 - ODOHERTY   2385,,,13,-1.5,56,82,0.16,0.91,22,-3,7,7,17,0.2,0.04,3,-0.17,0,167,46
PM461,,A23 - 8355,HHOLLA23 - FEDDES LIBERATION D108- 8355,,,14,-2,56,86,0.19,0.97,23,-3,9,7,18,0.47,0.08,13,-0.12,0.01,188,48
