RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM
483,,G65 - 8355,HHOLL G65 - FEDDES LIBERATION D108- 8355,,,113,14,-2.4,52,83,0.2,1.24,26,-1,10,7,19,0.52,0.02,13,-0.01,0,75,38
488,,G65 - 9191G,HHOLL G65 - LSF SRR CONTROL 9191G,,,140,17,-4.8,51,83,0.2,1.07,26,-3,14,10,19,0.69,0.05,14,0.07,0.02,89,50
481,,G65 - D172,HHOLL G65 - VF SILVER BOW D172,,,141,13,-2.1,57,96,0.24,1.24,21,-2,13,9,21,0.4,0,15,0.16,0.01,103,38
485,,G65 - J490,HHOLL G65 - BECKTON ORACLE J490 S2,,,118,17,-3.8,48,81,0.21,0.93,23,-5,10,10,19,0.41,0.02,8,0.01,0.01,83,35
487,,G65 - Z124G,HHOLL G65 - LASO SPLASH Z124G,,,118,14,-2.2,53,84,0.19,1.35,28,-1,9,8,19,0.56,-0.1,14,0.4,0,75,44
468,,G80 - 1181J,HHOLL G80 - LSF SRR CHARTER 1181J,,,136,15,-3.1,56,94,0.23,1.15,25,-1,11,7,19,0.5,0.06,30,0.06,0,79,57
470,,G80 - 1278J,HHOLL G80 - SLB AUTHORITY 1278J,,,117,15,-3.8,55,82,0.17,1.1,29,-7,9,8,19,0.44,-0.09,14,0.22,-0.02,82,35
466,,G80 - 8269,HHOLL G80 - FEDDES DEFENDER Y17-8269,,,100,15,-3.7,52,78,0.16,1.24,30,-5,11,7,19,0.44,-0.02,2,0.01,0,83,17
467,,G80 - 8355,HHOLL G80 - FEDDES LIBERATION D108- 8355,,,113,14,-3.2,51,82,0.2,1.17,26,-2,10,7,19,0.53,0.03,13,-0.02,0,73,40
472,,G80 - 9191G,HHOLL G80 - LSF SRR CONTROL 9191G,,,140,18,-5.6,50,81,0.2,1,27,-3,14,9,18,0.69,0.05,14,0.06,0.02,87,52
465,,G80 - D172,HHOLL G80 - VF SILVER BOW D172,,,141,14,-2.9,56,95,0.24,1.18,21,-2,13,9,21,0.41,0,14,0.16,0.01,101,40
469,,G80 - J490,HHOLL G80 - BECKTON ORACLE J490 S2,,,118,18,-4.7,47,80,0.2,0.87,23,-6,10,9,18,0.41,0.03,8,0.01,0.01,81,37
471,,G80 - Z124G,HHOLL G80 - LASO SPLASH Z124G,,,118,15,-3.1,52,83,0.19,1.29,28,-1,9,7,19,0.57,-0.1,14,0.39,0,73,46
516,,H11 - 1181J,HHOLL H11 - LSF SRR CHARTER 1181J,,,129,16,-4.1,49,80,0.2,1.17,21,-1,11,9,19,0.51,0.08,25,-0.03,0,80,49
518,,H11 - 1278J,HHOLL H11 - SLB AUTHORITY 1278J,,,110,17,-4.8,47,69,0.13,1.12,24,-7,10,9,19,0.45,-0.07,9,0.12,-0.01,82,27
514,,H11 - 8269,HHOLL H11 - FEDDES DEFENDER Y17-8269,,,92,17,-4.8,44,64,0.12,1.25,25,-6,11,9,19,0.45,0,-3,-0.08,0.01,83,9
515,,H11 - 8355,HHOLL H11 - FEDDES LIBERATION D108- 8355,,,106,16,-4.3,43,68,0.16,1.2,22,-2,10,8,19,0.54,0.05,8,-0.11,0,73,32
520,,H11 - 9191G,HHOLL H11 - LSF SRR CONTROL 9191G,,,132,19,-6.6,42,68,0.16,1.02,22,-4,14,11,18,0.7,0.07,9,-0.03,0.02,88,44
513,,H11 - D172,HHOLL H11 - VF SILVER BOW D172,,,133,16,-4,48,81,0.2,1.2,17,-3,14,10,20,0.42,0.02,9,0.06,0.01,101,32
517,,H11 - J490,HHOLL H11 - BECKTON ORACLE J490 S2,,,110,19,-5.7,39,66,0.17,0.88,19,-6,11,11,18,0.43,0.04,3,-0.09,0.02,81,29
519,,H11 - Z124G,HHOLL H11 - LASO SPLASH Z124G,,,111,16,-4.1,45,69,0.15,1.31,24,-2,9,9,19,0.58,-0.08,9,0.3,0,73,38
556,,H15 - 1181J,HHOLL H15 - LSF SRR CHARTER 1181J,,,124,14,-2.8,61,100,0.24,1.31,20,0,11,7,17,0.52,0.07,32,0.04,-0.01,68,56
558,,H15 - 1278J,HHOLL H15 - SLB AUTHORITY 1278J,,,105,15,-3.5,60,89,0.18,1.25,23,-6,10,8,17,0.47,-0.08,16,0.19,-0.02,71,34
554,,H15 - 8269,HHOLL H15 - FEDDES DEFENDER Y17-8269,,,88,15,-3.5,57,84,0.17,1.39,24,-4,11,7,18,0.47,-0.01,4,-0.01,0,72,16
555,,H15 - 8355,HHOLL H15 - FEDDES LIBERATION D108- 8355,,,101,14,-3,56,88,0.2,1.33,21,-1,10,7,17,0.55,0.04,15,-0.04,0,62,39
560,,H15 - 9191G,HHOLL H15 - LSF SRR CONTROL 9191G,,,128,17,-5.3,55,88,0.2,1.16,21,-2,14,9,16,0.72,0.06,16,0.04,0.02,76,51
553,,H15 - D172,HHOLL H15 - VF SILVER BOW D172,,,129,14,-2.7,61,101,0.25,1.34,16,-2,14,9,19,0.43,0.01,16,0.13,0.01,90,39
557,,H15 - J490,HHOLL H15 - BECKTON ORACLE J490 S2,,,106,17,-4.4,52,86,0.21,1.02,18,-5,11,9,17,0.44,0.03,10,-0.01,0.01,70,36
559,,H15 - Z124G,HHOLL H15 - LASO SPLASH Z124G,,,106,14,-2.8,57,89,0.2,1.45,23,0,9,7,17,0.6,-0.09,16,0.37,0,62,45
508,,H25 - 1181J,HHOLL H25 - LSF SRR CHARTER 1181J,,,141,15,-3.3,60,102,0.26,1.21,23,1,11,8,18,0.55,0.08,36,0.1,0,73,68
510,,H25 - 1278J,HHOLL H25 - SLB AUTHORITY 1278J,,,122,15,-4.1,58,90,0.2,1.16,27,-5,10,9,17,0.49,-0.07,20,0.25,-0.02,76,46
506,,H25 - 8269,HHOLL H25 - FEDDES DEFENDER Y17-8269,,,105,16,-4,55,86,0.19,1.3,28,-3,11,8,18,0.49,-0.01,8,0.05,0.01,77,28
507,,H25 - 8355,HHOLL H25 - FEDDES LIBERATION D108- 8355,,,118,15,-3.5,54,90,0.22,1.24,25,0,10,8,17,0.57,0.04,19,0.02,0,67,51
512,,H25 - 9191G,HHOLL H25 - LSF SRR CONTROL 9191G,,,145,18,-5.8,53,89,0.22,1.07,25,-1,14,10,17,0.74,0.07,19,0.1,0.02,81,64
505,,H25 - D172,HHOLL H25 - VF SILVER BOW D172,,,146,14,-3.2,59,102,0.27,1.25,20,0,14,9,19,0.45,0.02,20,0.19,0.01,95,51
509,,H25 - J490,HHOLL H25 - BECKTON ORACLE J490 S2,,,123,18,-4.9,50,87,0.23,0.93,21,-4,11,10,17,0.46,0.04,14,0.05,0.01,75,48
511,,H25 - Z124G,HHOLL H25 - LASO SPLASH Z124G,,,123,15,-3.3,55,91,0.22,1.36,26,1,9,8,17,0.62,-0.09,20,0.43,0,67,57
548,,H26 - 1181J,HHOLL H26 - LSF SRR CHARTER 1181J,,,129,15,-3.1,59,95,0.23,1.23,25,1,11,8,19,0.5,0.07,29,0.05,0,78,51
550,,H26 - 1278J,HHOLL H26 - SLB AUTHORITY 1278J,,,110,16,-3.8,58,84,0.16,1.17,28,-5,10,8,18,0.44,-0.08,14,0.19,-0.01,81,29
546,,H26 - 8269,HHOLL H26 - FEDDES DEFENDER Y17-8269,,,93,16,-3.7,55,79,0.15,1.31,29,-4,11,8,19,0.44,-0.01,1,0,0.01,82,11
547,,H26 - 8355,HHOLL H26 - FEDDES LIBERATION D108- 8355,,,106,15,-3.2,53,83,0.19,1.25,26,0,10,8,18,0.53,0.04,13,-0.04,0,71,34
552,,H26 - 9191G,HHOLL H26 - LSF SRR CONTROL 9191G,,,132,18,-5.6,53,83,0.19,1.08,26,-1,14,10,18,0.69,0.06,13,0.05,0.02,86,46
545,,H26 - D172,HHOLL H26 - VF SILVER BOW D172,,,133,15,-2.9,59,96,0.23,1.25,21,-1,13,9,20,0.41,0.01,14,0.13,0.01,99,34
549,,H26 - J490,HHOLL H26 - BECKTON ORACLE J490 S2,,,111,18,-4.7,50,81,0.19,0.94,22,-4,10,10,18,0.41,0.04,7,-0.01,0.02,79,31
551,,H26 - Z124G,HHOLL H26 - LASO SPLASH Z124G,,,111,15,-3.1,55,84,0.18,1.37,27,0,9,8,18,0.57,-0.09,14,0.38,0,71,40
596,,H31 - 1181J,HHOLL H31 - LSF SRR CHARTER 1181J,,,128,16,-3,58,94,0.23,1.19,22,0,11,8,18,0.52,0.08,28,0.03,0,75,53
598,,H31 - 1278J,HHOLL H31 - SLB AUTHORITY 1278J,,,109,16,-3.8,56,83,0.17,1.13,26,-6,10,9,18,0.47,-0.07,12,0.18,-0.01,78,31
594,,H31 - 8269,HHOLL H31 - FEDDES DEFENDER Y17-8269,,,92,16,-3.7,53,78,0.16,1.27,26,-4,11,8,18,0.47,0,0,-0.02,0.01,79,13
595,,H31 - 8355,HHOLL H31 - FEDDES LIBERATION D108- 8355,,,105,15,-3.2,52,82,0.19,1.22,23,-1,10,8,18,0.56,0.05,11,-0.05,0.01,69,36
600,,H31 - 9191G,HHOLL H31 - LSF SRR CONTROL 9191G,,,131,19,-5.5,51,82,0.19,1.04,24,-2,14,10,17,0.72,0.07,11,0.03,0.03,83,48
593,,H31 - D172,HHOLL H31 - VF SILVER BOW D172,,,132,15,-2.8,58,95,0.24,1.22,18,-2,14,9,20,0.44,0.02,12,0.12,0.02,97,36
597,,H31 - J490,HHOLL H31 - BECKTON ORACLE J490 S2,,,110,18,-4.6,49,80,0.2,0.9,20,-5,11,10,17,0.44,0.04,6,-0.03,0.02,77,33
599,,H31 - Z124G,HHOLL H31 - LASO SPLASH Z124G,,,110,15,-3,54,83,0.19,1.33,25,-1,9,8,18,0.6,-0.08,12,0.36,0.01,69,41
500,,H37 - 1181J,HHOLL H37 - LSF SRR CHARTER 1181J,,,141,14,-2.3,65,108,0.27,1.39,22,2,11,8,18,0.55,0.07,37,0.12,0,76,65
502,,H37 - 1278J,HHOLL H37 - SLB AUTHORITY 1278J,,,123,14,-3,63,97,0.21,1.34,26,-4,10,8,18,0.49,-0.08,21,0.28,-0.02,79,44
