"RAAA#,Sex,",An,"imalID,Cow,Bull,Name,,,DOB",",BrdCds,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM"
"PM192,,F81",-,"1181J,F81,1181J,F81 - LSF","SRR CHARTER 1181J,,,,,141,16,-3.8,57,94,0.23,0.56,29,2,10,8,19,0.5,0.06,30,0.06,0,74,67"
"PM221,,G11",-,"1278J,G11,1278J,HHOLL G11","- SLB AUTHORITY 1278J,,,,,130,16,-4.6,53,82,0.18,0.42,29,-5,9,9,17,0.52,-0.07,13,0.16,-0.01,76,54"
"PM234,,G25",-,"1181J,G25,1181J,HHOLL G25","- LSF SRR CHARTER 1181J,,,,,149,15,-3,63,100,0.23,0.6,26,1,11,8,20,0.5,0.06,31,0.08,0,86,63"
"PM235,,G25",-,"1278J,G25,1278J,HHOLL G25","- SLB AUTHORITY 1278J,,,,,131,16,-4.1,57,83,0.16,0.34,30,-7,9,9,19,0.47,-0.07,13,0.19,-0.01,87,44"
"PM242,,G29",-,"1278J,G29,1278J,HHOLL G29","- SLB AUTHORITY 1278J,,,,,121,15,-3.8,60,88,0.18,0.43,28,-5,9,8,17,0.5,-0.08,16,0.18,-0.02,70,50"
"PM251,,G34",-,"Z124G,G34,Z124G,HHOLL G34","- LASO SPLASH Z124G,,,,,125,15,-3.3,51,79,0.17,0.41,25,-2,10,7,18,0.56,-0.11,10,0.36,0,72,53"
"PM263,,G60",-,"1278J,G60,1278J,HHOLL G60","- SLB AUTHORITY 1278J,,,,,143,17,-5.2,53,82,0.18,0.41,28,-5,10,10,19,0.52,-0.07,13,0.16,-0.01,89,54"
"PM265,,G60",-,"Z124G,G60,Z124G,HHOLL G60","- LASO SPLASH Z124G,,,,,140,15,-4.2,53,86,0.21,0.59,26,1,10,8,19,0.62,-0.1,14,0.38,0,75,65"
"PM277,,G09",-,"1278J,G09,1278J,HHOLL G09","- SLB AUTHORITY 1278J,,,,,131,14,-3.3,59,91,0.2,0.51,28,-4,10,8,17,0.52,-0.07,17,0.19,-0.01,75,57"
"PM312,,H62",-,"1278J,H62,1278J,HHOLL H62","- SLB AUTHORITY 1278J,,,,,131,14,-2.8,60,92,0.2,0.53,28,-4,9,8,18,0.52,-0.07,16,0.19,-0.01,77,54"
"PM335,,H61",-,"Z124G,H61,Z124G,HHOLL H61","- LASO SPLASH Z124G,,,,,125,16,-4.3,50,77,0.17,0.42,26,-1,9,9,18,0.56,-0.11,11,0.35,0,71,54"
"PM342,,H44",-,"Z124G,H44,Z124G,HHOLL H44","- LASO SPLASH Z124G,,,,,126,15,-3.4,50,78,0.17,0.44,25,0,10,8,18,0.56,-0.11,11,0.35,0,71,55"
"PM368,,H42",-,"1278J,H42,1278J,HHOLL H42","- SLB AUTHORITY 1278J,,,,,124,16,-4.3,60,87,0.17,0.47,31,-7,9,8,17,0.57,-0.07,12,0.16,-0.01,73,50"
"PM380,,J33",-,"9191G,J33,9191G,HHOLL J33","- LSF SRR CONTROL 9191G,,,,,141,17,-5.1,56,87,0.2,0.45,30,-2,13,9,18,0.75,0.06,12,0,0.02,80,61"
"PM382,,J33",-,"1278J,J33,1278J,HHOLL J33","- SLB AUTHORITY 1278J,,,,,117,15,-3.9,56,81,0.16,0.37,33,-7,8,8,17,0.53,-0.08,10,0.13,-0.02,70,47"
"PM389,,J03",-,"1278J,J03,1278J,HHOLL J03","- SLB AUTHORITY 1278J,,,,,121,16,-4.3,54,79,0.15,0.31,30,-8,9,8,17,0.56,-0.07,9,0.11,-0.01,74,48"
"PM409,,J51",-,"1181J,J51,1181J,HHOLL J51","- LSF SRR CHARTER 1181J,,,,,155,14,-3.1,61,102,0.26,0.72,26,1,12,8,19,0.55,0.06,31,0.06,0,83,72"
"PM424,,J40",-,"1278J,J40,1278J,HHOLL J40","- SLB AUTHORITY 1278J,,,,,128,15,-3.8,54,81,0.17,0.3,30,-7,9,8,17,0.6,-0.13,12,0.28,-0.02,67,61"
"PM425,,J40",-,"D172,J40,D172,HHOLL J40 -","VF SILVER BOW D172,,,,,148,13,-2.7,57,96,0.25,0.6,22,-2,13,8,19,0.54,-0.05,14,0.25,0,85,63"
"PM430,,J65",-,"1181J,J65,1181J,HHOLL J65","- LSF SRR CHARTER 1181J,,,,,147,14,-2.4,68,110,0.26,0.87,31,5,10,7,18,0.62,0.01,38,0.28,-0.01,66,80"
"PM432,,J65",-,"D172,J65,D172,HHOLL J65 -","VF SILVER BOW D172,,,,,150,13,-2.4,66,108,0.27,0.91,26,3,13,8,19,0.54,-0.05,22,0.36,0,85,64"
"PM436,,J27",-,"9191G,J27,9191G,HHOLL J27","- LSF SRR CONTROL 9191G,,,,,152,16,-4.3,55,89,0.21,0.49,30,3,13,9,18,0.81,0.01,14,0.16,0.01,79,74"
"PM445,,J61",-,"1278J,J61,1278J,HHOLL J61","- SLB AUTHORITY 1278J,,,,,122,15,-3.9,53,79,0.16,0.36,30,-6,9,8,16,0.59,-0.13,14,0.3,-0.02,62,60"
"PM450,,J05",-,"9191G,J05,9191G,HHOLL J05","- LSF SRR CONTROL 9191G,,,,,156,16,-4.5,65,103,0.24,0.69,29,0,14,10,18,0.81,0.07,17,0.08,0.02,88,69"
"PM460,,J04",-,"D172,J04,D172,HHOLL J04 -","VF SILVER BOW D172,,,,,137,15,-3.5,54,89,0.22,0.54,19,-3,13,8,18,0.54,-0.01,9,0.09,0.01,82,54"
"PM466,,J80",-,"1278J,J80,1278J,HHOLL J80","- SLB AUTHORITY 1278J,,,,,119,16,-4.3,57,82,0.16,0.39,29,-8,9,8,16,0.58,-0.1,10,0.17,-0.02,68,50"
"PM473,,J46",-,"1278J,J46,1278J,HHOLL J46","- SLB AUTHORITY 1278J,,,,,121,15,-4.1,60,90,0.19,0.54,29,-6,9,8,15,0.62,-0.09,14,0.2,-0.02,63,58"
"PM474,,J46",-,"D172,J46,D172,HHOLL J46 -","VF SILVER BOW D172,,,,,141,14,-3,63,105,0.27,0.84,21,-1,14,8,17,0.56,-0.01,16,0.17,0,81,60"
"PM480,,J41",-,"1278J,J41,1278J,HHOLL J41","- SLB AUTHORITY 1278J,,,,,118,16,-4.7,55,83,0.17,0.46,29,-7,9,8,15,0.62,-0.1,11,0.17,-0.02,61,56"
"PM508,,K51",-,"1278J,K51,1278J,HHOLL K51","- SLB AUTHORITY 1278J,,,,,129,15,-3.7,54,84,0.19,0.39,27,-5,9,9,17,0.52,-0.07,14,0.17,-0.01,72,57"
"PM550,,K82",-,"1278J,K82,1278J,HHOLL K82","- SLB AUTHORITY 1278J,,,,,120,16,-4.1,60,88,0.18,0.43,30,-6,9,8,17,0.47,-0.08,15,0.22,-0.01,73,47"
"PM578,,K86",-,"1278J,K86,1278J,HHOLL K86","- SLB AUTHORITY 1278J,,,,,122,15,-2.8,62,93,0.19,0.41,29,-4,9,8,18,0.47,-0.08,14,0.2,-0.01,75,47"
"PM592,,K30",-,"1278J,K30,1278J,HHOLL K30","- SLB AUTHORITY 1278J,,,,,134,14,-2.7,57,89,0.2,0.46,28,-6,9,8,18,0.51,-0.07,15,0.17,-0.02,79,55"
"PM613,,K69",-,"1278J,K69,1278J,HHOLL K69","- SLB AUTHORITY 1278J,,,,,113,15,-3.5,67,97,0.19,0.67,34,-4,9,8,16,0.54,-0.08,16,0.21,-0.02,66,47"
"PM620,,K68",-,"1278J,K68,1278J,HHOLL K68","- SLB AUTHORITY 1278J,,,,,123,16,-4.2,58,85,0.17,0.43,34,-6,9,9,17,0.56,-0.07,10,0.16,-0.01,74,49"
"PM635,,K11",-,"D172,K11,D172,HHOLL K11 -","VF SILVER BOW D172,,,,,139,14,-3.2,60,101,0.25,0.74,18,-2,13,8,17,0.56,-0.01,14,0.16,0,79,60"
"PM641,,K65",-,"1278J,K65,1278J,HHOLL K65","- SLB AUTHORITY 1278J,,,,,117,17,-4.8,56,82,0.16,0.44,31,-7,9,8,16,0.59,-0.1,10,0.17,-0.02,67,50"
"PM662,,L06",-,"1278J,L06,1278J,HHOLL L06","- SLB AUTHORITY 1278J,,,,,111,16,-4.6,59,87,0.18,0.52,29,-7,9,8,14,0.66,-0.11,11,0.19,-0.02,54,57"
"PM663,,L06",-,"D172,L06,D172,HHOLL L06 -","VF SILVER BOW D172,,,,,132,15,-3.5,62,102,0.25,0.82,21,-2,13,8,16,0.61,-0.03,13,0.16,0,72,60"
"PM669,,L09",-,"1278J,L09,1278J,HHOLL L09","- SLB AUTHORITY 1278J,,,,,114,16,-5.1,57,82,0.16,0.43,30,-8,9,8,15,0.63,-0.1,10,0.17,-0.02,61,54"
"PM674,,L12",-,"9191G,L12,9191G,HHOLL L12","- LSF SRR CONTROL 9191G,,,,,152,17,-5.2,57,92,0.22,0.57,29,1,14,10,17,0.85,0.02,17,0.21,0.02,76,76"
"PM676,,L12",-,"1278J,L12,1278J,HHOLL L12","- SLB AUTHORITY 1278J,,,,,128,15,-3.9,57,85,0.18,0.5,31,-4,9,9,16,0.62,-0.12,15,0.34,-0.01,67,61"
"PM679,,L12",-,"8269,L12,8269,HHOLL L12 -","FEDDES DEFENDER Y17-8269,,,,,117,15,-3.6,56,84,0.18,0.58,30,-3,11,8,17,0.61,-0.05,5,0.18,0.01,72,46"
