CowID,BullID,PairID,RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM
J40 , 1278J,J40 - 1278J,PM424,,J40 - 1278J,HHOLL J40 - SLB AUTHORITY 1278J,,,128,15,-3.8,54,81,0.17,0.3,30,-7,9,8,17,0.6,-0.13,12,0.28,-0.02,67,61
K21 , D172,K21 - D172,PM523,,K21 - D172,HHOLL K21 - VF SILVER BOW D172,,,135,14,-2.5,55,93,0.24,0.54,22,-1,13,8,19,0.42,0.0,14,0.13,0.01,84,51
H70 , 1278J,H70 - 1278J,PM361,,H70 - 1278J,HHOLL H70 - SLB AUTHORITY 1278J,,,125,16,-4.0,53,77,0.15,0.29,28,-6,9,9,19,0.44,-0.07,10,0.11,-0.02,84,41
L06 , 9191G,L06 - 9191G,PM660,,L06 - 9191G,HHOLL L06 - LSF SRR CONTROL 9191G,,,135,17,-5.8,59,93,0.22,0.59,27,-2,14,9,15,0.88,0.03,13,0.06,0.01,64,71
C47 , 9191G,C47 - 9191G,PM86,,C47 - 9191G,C47 - LSF SRR CONTROL 9191G,,,151,15,-3.7,55,86,0.2,0.44,30,1,13,9,21,0.63,0.06,15,0.02,0.01,96,56
E59 , D172,E59 - D172,PM152,,E59 - D172,E59 - VF SILVER BOW D172,,,145,12,-0.9,60,98,0.24,0.6,21,-3,13,8,21,0.35,0.0,18,0.12,0.0,100,45
J62 , Z124G,J62 - Z124G,PM405,,J62 - Z124G,HHOLL J62 - LASO SPLASH Z124G,,,117,14,-2.9,60,93,0.21,0.64,25,-1,10,7,16,0.59,-0.11,16,0.39,-0.01,58,59
K34 , 1278J,K34 - 1278J,PM606,,K34 - 1278J,HHOLL K34 - SLB AUTHORITY 1278J,,,128,14,-3.0,62,93,0.19,0.54,31,-3,9,8,17,0.6,-0.06,19,0.16,-0.02,68,60
G10 , D172,G10 - D172,PM215,,G10 - D172,HHOLL G10 - VF SILVER BOW D172,,,138,15,-3.3,52,89,0.23,0.48,22,-2,13,9,19,0.41,0.01,13,0.11,0.01,86,52
L09 , 1278J,L09 - 1278J,PM669,,L09 - 1278J,HHOLL L09 - SLB AUTHORITY 1278J,,,114,16,-5.1,57,82,0.16,0.43,30,-8,9,8,15,0.63,-0.1,10,0.17,-0.02,61,54
L64 , J490,L64 - J490,PM771,,L64 - J490,HHOLL L64 - BECKTON ORACLE J490 S2,,,125,18,-4.8,49,86,0.23,0.45,25,0,11,10,15,0.6,-0.01,12,0.16,0.01,57,68
H15 , 1181J,H15 - 1181J,PM325,,H15 - 1181J,HHOLL H15 - LSF SRR CHARTER 1181J,,,136,14,-2.5,63,102,0.25,0.65,21,0,11,7,18,0.52,0.07,31,0.03,-0.01,70,66
F81 , 1278J,F81 - 1278J,PM193,,F81 - 1278J,F81 - SLB AUTHORITY 1278J,,,124,17,-4.9,52,77,0.16,0.3,32,-6,9,9,18,0.47,-0.08,12,0.17,-0.01,76,48
L12 , 9191G,L12 - 9191G,PM674,,L12 - 9191G,HHOLL L12 - LSF SRR CONTROL 9191G,,,152,17,-5.2,57,92,0.22,0.57,29,1,14,10,17,0.85,0.02,17,0.21,0.02,76,76
K40 , 1181J,K40 - 1181J,PM654,,K40 - 1181J,HHOLL K40 - LSF SRR CHARTER 1181J,,,128,15,-3.2,60,96,0.23,0.58,23,-1,11,7,16,0.62,0.05,26,0.03,-0.01,59,69
J27 , D172,J27 - D172,PM439,,J27 - D172,HHOLL J27 - VF SILVER BOW D172,,,149,13,-2.0,58,97,0.25,0.72,25,3,13,8,20,0.54,-0.05,15,0.26,0.0,87,62
