CowID,BullID,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM
K34 , 1181J,145,13,-1.9,67,110,0.27,0.81,28,5,11,7,18,0.62,0.08,37,0.05,-0.01,66,79
J33 , 9191G,141,17,-5.1,56,87,0.2,0.45,30,-2,13,9,18,0.75,0.06,12,0,0.02,80,61
L22 , 9191G,136,16,-4.7,61,96,0.22,0.55,26,-1,14,9,15,0.82,0.04,14,0.04,0.01,69,68
E30 , J490,118,16,-2.8,48,78,0.19,0.17,23,-5,10,9,18,0.35,0.04,10,-0.06,0,76,41
D23 ,8269,115,16,-3.3,49,72,0.14,0.33,28,-6,11,8,20,0.46,0,-2,-0.05,0.01,88,27
J27 , D172,149,13,-2,58,97,0.25,0.72,25,3,13,8,20,0.54,-0.05,15,0.26,0,87,62
H70 , 1278J,125,16,-4,53,77,0.15,0.29,28,-6,9,9,19,0.44,-0.07,10,0.11,-0.02,84,41
K30 , 1278J,134,14,-2.7,57,89,0.2,0.46,28,-6,9,8,18,0.51,-0.07,15,0.17,-0.02,79,55
J04 , Z124G,114,15,-3.6,51,79,0.18,0.41,25,-2,10,6,16,0.69,-0.13,8,0.35,-0.01,50,63
J46 , D172,141,14,-3,63,105,0.27,0.84,21,-1,14,8,17,0.56,-0.01,16,0.17,0,81,60
H42 , 1181J,141,15,-3.2,65,105,0.25,0.73,27,1,11,7,18,0.61,0.07,29,0.05,0,72,69
L60 , 1181J,140,14,-2.7,64,104,0.25,0.79,29,3,11,7,17,0.63,0.02,33,0.21,-0.01,62,78
L44 ,8269,120,16,-4,56,85,0.18,0.5,30,-3,11,8,18,0.61,0.02,7,-0.01,0.01,73,48
N56 , 9191G,155,14,-2.7,57,89,0.2,0.42,30,0,13,8,22,0.64,0.05,14,0.01,0.01,101,53
H37 , D172,153,14,-2.5,61,105,0.27,0.79,16,0,14,9,20,0.47,0.01,19,0.19,0.01,94,59
C14 , 1181J,139,14,-2.2,60,96,0.23,0.41,22,-1,10,7,20,0.44,0.06,28,-0.01,-0.01,81,59
F08 , 1181J,161,13,-1.5,68,113,0.28,0.8,25,1,12,7,20,0.55,0.07,35,0.12,0,87,74
J61 , D172,142,14,-2.8,56,94,0.24,0.67,22,-1,13,8,18,0.54,-0.04,16,0.26,0,79,63
K59 , J490,107,17,-3.7,50,82,0.2,0.32,27,-2,10,9,16,0.48,0.04,7,-0.05,0.01,59,48
K38B , Z124G,128,13,-1.8,62,97,0.22,0.71,30,2,10,6,17,0.69,-0.09,20,0.36,-0.01,59,69
L66 , 1278J,124,15,-3.1,59,86,0.17,0.45,32,-6,9,8,18,0.54,-0.08,11,0.15,-0.02,77,47
J40 , 1278J,128,15,-3.8,54,81,0.17,0.3,30,-7,9,8,17,0.6,-0.13,12,0.28,-0.02,67,61
H11 , 9191G,151,19,-6.4,44,71,0.16,0.2,23,-3,14,11,19,0.69,0.07,8,-0.05,0.02,94,57
L06 , 9191G,135,17,-5.8,59,93,0.22,0.59,27,-2,14,9,15,0.88,0.03,13,0.06,0.01,64,71
G22 , 1181J,145,14,-2.7,63,103,0.25,0.65,28,2,11,7,20,0.5,0.06,31,0.1,0,78,66
C19 , Z124G,118,14,-2.4,57,85,0.18,0.53,30,-1,9,7,19,0.5,-0.11,14,0.34,-0.01,70,47
L49 , 1278J,138,14,-2.5,64,101,0.23,0.63,30,-2,10,8,17,0.62,-0.04,25,0.19,-0.02,68,71
F79 , J490,134,17,-3.7,53,92,0.24,0.37,20,-2,11,10,18,0.47,0.05,11,-0.01,0.01,78,56
L88 ,8269,101,16,-3.8,57,84,0.17,0.54,28,-6,11,7,16,0.63,-0.04,0,0.01,0,62,39
K72 , 1278J,138,15,-3.8,59,90,0.2,0.52,26,-7,10,8,18,0.51,-0.08,17,0.22,-0.02,83,55
G09 , 9191G,155,16,-4.5,59,98,0.24,0.59,25,1,14,9,18,0.75,0.07,18,0.06,0.02,84,71
K25 , J490,108,17,-3.6,53,86,0.21,0.33,24,-3,10,9,16,0.48,0.04,6,-0.05,0.01,62,46
